DEPTH,ROP,WOB,CO2,CH4,H2S,TEMPIN,TEMPOUT,FRACT,MUDLOSS,QUARTZIT,CALCITE,PYRITE,HEMATITE,EPIDOTAL,CHLORITE,ANHYDRIT,SERICITE,PP,SPM1,SPM2,FLOWIN,FLOWOUT%,GAINLOSS,RPM,TORQUE,PITVOL,TUFFASH ,RHYOLITE,BASALT,VOLCAN,ANDESITE,DACITE,TUFFCRYS,VOLCSEDI,CHERTARG,MARL,CLAYST%,CLAY%,SILTST%,SANDST%,SAND%,MEDSAND%,CRSSAND
203,246,0,212,0,0,63,66,0,0,0,0,0,0,0,0,0,0,676,100,103,665,36,0,54,0,199,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
204,332,0,212,0,0,63,66,0,0,0,0,0,0,0,0,0,0,676,100,103,665,35,0,55,0,189,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
205,270,0,227,0,0,63,65,0,0,0,0,0,0,0,0,0,0,676,100,103,670,35,0,56,0,189,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
206,244,0,227,0,0,63,65,0,0,0,0,0,0,0,0,0,0,676,100,103,670,35,0,56,0,189,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
207,300,1,227,0,0,63,66,0,0,0,0,0,0,0,0,0,0,692,99,103,673,35,0,56,0,189,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
208,312,1,242,0,0,62,67,0,0,0,0,0,0,0,0,0,0,692,99,103,678,35,0,56,0,189,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
209,222,1,242,0,0,63,67,0,0,0,0,0,0,0,0,0,0,701,99,106,678,35,0,56,0,197,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
210,247,1,242,0,0,63,66,0,0,0,0,0,0,0,0,0,0,708,101,106,678,35,0,56,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
211,190,2,227,0,0,63,65,0,0,0,0,0,0,0,0,0,0,717,103,106,685,36,0,56,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
212,326,1,206,0,0,63,65,0,0,0,0,0,0,0,0,0,0,727,103,106,685,36,0,56,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
213,309,1,206,0,0,65,65,0,0,0,0,0,0,0,0,0,0,725,103,106,685,36,0,55,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
214,387,1,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,748,103,106,685,35,0,56,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
215,257,1,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,730,103,106,685,35,0,58,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
216,333,1,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,717,103,106,685,36,0,58,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
217,258,1,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,737,103,106,685,36,0,53,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
218,324,1,206,0,0,63,65,0,0,0,0,0,0,0,0,0,0,728,103,106,685,35,0,51,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
219,381,1,206,0,0,63,65,0,0,0,0,0,0,0,0,0,0,735,103,106,685,35,0,52,0,200,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
220,136,0,206,0,0,64,65,0,0,0,0,0,0,0,0,0,0,752,103,106,685,37,0,54,0,200,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
221,229,0,206,0,0,63,65,0,0,0,0,0,0,0,0,0,0,743,103,106,685,36,0,57,0,200,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
222,111,1,206,0,0,64,65,0,0,0,0,0,0,0,0,0,0,724,103,106,685,40,0,53,0,198,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
223,197,1,206,0,0,63,66,0,0,0,0,0,0,0,0,0,0,741,103,106,685,36,0,50,0,198,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
224,122,1,206,0,0,63,66,0,0,0,0,0,0,0,0,0,0,731,103,106,685,36,0,50,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
225,218,1,206,0,0,64,64,0,0,0,0,0,0,0,0,0,0,738,103,106,685,36,0,49,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
226,142,1,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,719,103,106,685,36,0,49,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
227,269,1,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,729,103,106,685,36,0,53,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
228,178,1,206,0,0,64,64,0,0,0,0,0,0,0,0,0,0,719,103,106,685,37,0,56,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
229,142,1,206,0,0,64,64,0,0,0,0,0,0,0,0,0,0,733,103,106,685,36,0,57,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
230,258,1,206,0,0,63,65,0,0,0,0,0,0,0,0,0,0,736,103,106,685,36,0,57,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
231,180,0,206,0,0,66,66,0,0,0,0,0,0,0,0,0,0,745,103,106,685,38,0,56,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
232,164,0,206,0,0,64,66,0,0,0,0,0,0,0,0,0,0,729,103,106,685,36,0,53,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
233,299,0,206,0,0,63,64,0,0,0,0,0,0,0,0,0,0,745,103,106,685,41,0,49,0,196,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
234,184,0,205,0,0,64,65,0,0,0,0,0,0,0,0,0,0,707,103,106,685,39,0,49,0,195,0,0,0,0,0,0,0,0,0,0,0,90,0,0,10,0,0
235,209,0,206,0,0,64,65,0,0,0,0,0,0,0,0,0,0,743,103,106,685,37,0,49,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
236,299,0,206,0,0,64,66,0,0,0,0,0,0,0,0,0,0,732,103,106,685,40,0,49,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
237,345,0,206,0,0,64,68,0,0,0,0,0,0,0,0,0,0,731,103,106,685,39,0,49,0,195,0,0,0,0,0,0,0,0,0,0,0,80,0,0,20,0,0
